id,text,gender/sexual_pred,gender/sexual_gold
fas_160426962ea7045c54f16758e8feaeaa,من دیگه تحمل یه شکست دیگه رو ندارم واقعا  فک کن الان به جای دوستش که پسره با یه دختر رفته بود تجریش من آب میشدم قشنگ,0,1
fas_1ebe42cfc8a27beec36b1d9fff0827fa,دقیقاً درسته نمونه‌اش اینه که ملت حجاب کسی براشون مهم نیست، تو مترو، تو خیابون، تو نونوایی، تو بانک و هرجایی، تنها کسی که گیر داده به حجاب سیستم و تعداد خیلی کمی از هواداران سیستم هستن. رفیق شدن ولی ظاهرا پیش نخواهد اومد مگر اینکه سیستم تغییر کنه,0,1
fas_2a9a2234917c7039e379e5518a875d76,آخه آزادی بیان همیشه و همه جا و برا همه کس خوب نیست.آزادی بیان به چه قیمتی؟ به قیمت این که یه عده بی ریشه ی بی غیرت بیان نه تنها علیه یه رژیم خادم که علیه تاریخ و فرهنگ ایران یاوه گویی کنن ، به هخامنشیان و ساسانیان و نادرشاه توهین کنن ، به مردم توهین کنن ، و در نهایت برای ایدئولوژی شون مردمو ترور کن,0,1
fas_3245db40de78a562a14152cc6b16a2fa,در روز جهانی زن حرفی ندارم بزنم جز حرف همیشگیم: استقلال استقلال استقلال,0,1
fas_33012b84f196d8168a3d592fe153f867,رفتم به بابام وکالت بدم، خانومه می‌گه این نقل و انتقال اموال رو هم شامل می‌شه‌ها. بابام می‌گه هیچی نداره نگران نباشید. :)))))))),0,1
fas_37aee5e96474a7df8e60071017a5c553,هرچی می‌کشیم از موسوی و رهنورد و خاتمی و روحانی و مخملباف می‌کشیم  حجاب رو اینا اجباری کردن بهروز وثوقی رو اینا ممنوع‌الکار کردن کوی دانشگاه کار اینا بود,0,1
fas_4675799c397918fe327e9e8a5664d60f,از یک شوخی و هم‌جنس است با لجن‌پراکنی‌های امثال علی ربیعی، حسام‌الدین آشنا و پایگاه خبری انتخاب، علیه انتخاب و سلیقه‌ی مردم و ضدّ رسانه‌ی عموم مردم کشور که حتّی به ورزش و سرگرمی جامعه و حریم طرفداری فوتبال و باشگاه استقلال و استقلالی‌ها هم رحم ندارد. پایانی ندارد خطّ تخریب صدا و سیما، از جانب پروژه‌ده‌ها و,0,1
fas_499f341a37bb3df3e8c40f0e3dbe0e20,خانمه داره میگه لیلا گفته طلا گرون شده سه تایی مهریه هامونو بذاریم اجرا !! عجب کثافتایی,0,1
fas_58c9e9fb5e6ab5343c0cc83526fdc3f1,ناصر محمدخانی را اعدام کنید ✊🏼,0,1
fas_58ee8848db9d686c8abb41eb2f9fa004,انحراف، در جهان‌بینی فرح‌وار «تاسیان» است، نه فقط در رقصیدن‌ها و الکل‌نوشی‌ها! ۱- در مورد شماره‌ی سه یادداشت پیوست‌شده، ذکر شد، اگر بنا باشد سریال #تاسیان بعد سه قسمت توقیف و دوباره منتشر شود، صرفاً تبلیغاتی رایگان رخ داده به نفع فیلیمو و سریال و علیه قوّه‌ی قضائیه و صدا و سیما.  …,0,1
fas_5b963a9858e726957224ecf91c33cf38,شرایط استخدام تو گشت ارشاد فک کنم اینجوریه که هرکی درصد حرومزادگیش بیشتر باشه، درجه بالاتری داره.,0,1
fas_5dd4e6ea7c8005f6357316dcd6930a9a,اون موقعی نسوخت که با حرومزادگی تموم توی چشم ملت نگاه میکردن میگفتن گشت ارشاد نداریم که گشت ارشاد جمع شده,0,1
fas_6ea512d7bc73973b8bdecfe962e73844,حتی اگه انقلاب هم نشه دیگه گشت ارشاد تخم اینکه بخواد دخترامونو رو بگیره نداره:))))),0,1
fas_7252fa0c2651daf7506667e6bb699a55,حتی اصلا بهش نمیاد دانشجو باشه احتمالا از پرستوهای هرزه آخوندی باش.,0,1
fas_780ea81b15da91cfa90dd967defad03e,دانشجو اگر شخصیت علمی داره چرا با بد دهنی و الفاظ ناپسندانه و هتک حرمت ، هرزگیشو ثابت کنه .,0,1
fas_79d3f8b75bac123e1e5fdfc3c2920bac,کار دیگه از بچه و برادر و داماد و عروس گذشته پسر عمه داماد کوچیکه محسن رایی هم از رانت بهره میبره,0,1
fas_805964f6a58d9dbba35c07967e92a27c,اگه همون‌قدر که رو فیلترینگ حساسیت داشتین ،جلو زنا رو میگرفتین اینهمه بسیجی و سرکوبگر تو خیابون نبود.,0,1
fas_87b52b85f76c5aed4af09771a49c1a1a,یه دختره که دانشجو پزشکی بود از لحاظ تلاشگر‌ بودنش برام اسطوره بود,0,1
fas_8be27297caf3352cbe2cb3269812af8e,اونجوری میشد پارک فرزندآوری که :)),0,1
fas_8f09021a0a6f963a16c1b583a5dd8eb9,من موندم مگه قانون حجاب تصویب شد که اصفهان چند ماهه جریمه نقدی گذاشته برای بی حجابی مگه میشه انقد بی در و پیکر باشه هر شهری برای خودش قانون داشته باشه؟,0,1
fas_8fadfd44af45be922fa6c381a7662370,ما مردم خودمونیم که آدمای آشغال و آش و لاش رو به یه جاهایی میرسونیم که دیگه پایین اومدنی نیستن. از سیاستمدارا گرفته تا سلبریدی ها! خدایی این آرام جوینده اصلا تا دیروز کسی نمیدونست کیه الان پیجش چهار و نیم میلیون فالوور داره! یعنی تقریبا به اندازه پیج رسمی تیم استقلال!,0,1
fas_98fb5fa5b2667de8994ca1e30f3f925c,عزیزم نیازی به گشت ارشاد نیست توی  شهرتون:)) انقدر مردها  کرمانشاه هیز هستن که آدم مجبور میشه لباس پوشیده بپوشه :)),0,1
fas_a0f9bd5335f84613ee54687082f24f89,جمهوری اسلامی سر حجاب کوتاه آمده است؟ جمهوری اسلامی طرفداران اجرای قانون عفاف را جمع کرد و مثل سگ در بیابان ول کرد.  در برنامه امشب ۳۰ دقیقه بلسک,0,1
fas_a3ef92cba7d844974c98b43af7491cee,جناب فتحی،  لطفا مسئله حجاب را از زیر شکم تفکیک کنید.  با و بدون حجاب اون مسئله میتونه باشه.,0,1
fas_afd689ac553fe211cfdfdffffbb6c318,مذهبی های معمولی نه ولی عرزشیا و چپ ها و آخوندا باید سرکوب شن چون علنا دشمن ایران و ایرانی ان  آزادی بیان به نظر من مال کسیه که داره انتقاد می‌کنه و دنبال اصلاحه ، نه مال کسی که کلا می‌خواد سر به تن کشور و حاکمش و مردمش نباشه  الان به طور مثال من مجازم به پدر و مادر خدابیامرز تو توهین کنم؟!,0,1
fas_b4e0c32bfb86d5efd706b2aeb41d5ba0,صبح چهارشنبه جمهوري اسلامی ۳ نفر ديگر را اعدام كرد.#شاهین_وصاف هم به اتهام جاسوسی برای اسرائیل،با وجود نقض حکم،همچنان در فهرست افراد در معرض اعدام است.آقایان وکیل و مدافع حقوق بشر؛  کاوه شهروز و‌کامبیز غفوری و دیگر ترمزان براندازی، هنوز با توهم دموکراسی با تز خمینیسم، دست در دست ارتجاع….,0,1
fas_bed8b1015e4ae8f19d9c2e5867019818,داشتم میرفتم مدرسه دیدم دوتا شیرزن نشستن دارن کله پاچه میخورن اونم بدون  واقعا این صحنه تونست روزم رو زیبا کنه,0,1
fas_cd1634ab82801e2f7747920a341a7a43,سبک زندگی رو قدری توضیح بدید لطفا!,0,1
fas_d13137019cb742e9cac2db76278c8c87,دقیقا. اگه سعدی ‌و حافظ رو سانسور نمیشد و عرفان رو جدا از احساسات انسانی نمیکردن اینجوری به نظرشون ترکیب این چیزا متناقض نمیومد. حالا بانو یکم بریم دایرکت از عرفان حرف بزنیم,0,1
fas_d1d95ff39064476fd919e3e9821a5b36,«هر» پسر ایرانی متخصص مهاجرت اکس‌ها.,0,1
fas_d26a4d09f8b49ddf608dea2225fc8b44,نه حجاب تو رو نجیب میکنه و نه بی حجابی تورو هرزه، حیا باید تو ذات ادم باشه ک حجاب نمیسازتش...,0,1
fas_da937cb05981e9ea5107eaf15ea4c699,هیچوقت با اینایی که ننه هاشون تو گشت ارشاد کار میکنن دعوا نکنید,0,1
fas_e479e8394986cc547df94ce052474f70,حقیقتا از هرگونه رفتار مخالف با سبک زندگی سالم خسته شدم.. مایل به دوستانی با سبک زندگی سالم,0,1
fas_ef3d0c699c0384e0cd48f6a34a32734a,ماجرای خواستگاری دانشگاه برای اون دو دانشجو بیخ پیدا کرد,0,1
fas_f4869e7677a2710fe3adaf24342098d2,بی وطن تو دیگه حرف از وطن نزن وطن فروش سلبریتی دیوث وطن فروش,0,1
