id,text,vilification_pred,vilification_gold
fas_1773df1aaa830dffbe2d39f951981fd9,تو یه سریال کره ای یه دیالوگ خیلی عجیبی بود که میگفت: «وقتی تو سکوت تلاش میکنی، کسی نمیدونه به چی حمله کنه!» همینقدر عمیق:)),0,1
fas_19b5a443ec503fb137e908a5cb3fa307,تجمع اعتراضی کارگران پیمانی شرکت بهره‌برداری نفت و گاز گچساران و کادر بهداشت دانشگاه علوم پزشکی کرماشان/کرمانشاه و ادامه‌ی اعتصاب کارگران پالایشگاه بیدبلند بهبهان,0,1
fas_1b569053b7c397be0230b0e74cf8d6fd,اما چون مجلس شورای ملی نداریم، (به مجلس شورای اسلامی همه که نمیشه برد، اصلا قانون مشروطه جمهوری اسلامی رو به رسمیت نمی‌شناسه چون اگر بشناسه خودش ملغی میشه) پس نتیجه می‌گیریم یا مرگ رضا سس خرسی و علی‌پاتریک دودمان پهلوی تموم میشه والسلام مگر اینکه یاسمین یه پسر بزاد. لیترالی قانون تخمی مشروطه.,0,1
fas_1cd2f14f246aa19b409f9ce4b4849982,رییس ایرانی پارلمان نروژ اگر ایران میماند درنهایت میتوانست اعدام شود...  #جبر_جغرافیایی,0,1
fas_1f1edca982f8d2d04b4c48e0efdfe4db,خب بر اساس همین شاخص‌ها، موسسات مختلف میان رتبه‌بندی می‌کنن دموکراتیک بودن سیستم‌ها رو، و بر اساس نتیجه‌ی یکی از اون‌ها اون جدول رو برای شما درست کردم که مقایسه بین جمهوری‌های جهان و پادشاهی‌هاست، اعم از مشروطه و مطلقه.,0,1
fas_2452e66f0d6c9375a8ab4baecf4fb8cb,جواد قارایی، مجری تلویزیون: هر چه سریع تر چند سلاح اتمی بسازید و تمام تاسیسات اسرائیل را نابود کنید به تمام ناوها و پایگاه های آمریکایی حمله کنید. تمام پالایشگاه های نفت کشورهای حاشیه خلیج فارس را به آتش بکشید. با ۲۳ امتیاز و ۱ نظر فرستاده شده در بالاچه اخبار و حواشی سینما و تلویزیون,0,1
fas_24de8c47996a4ca1148113cd0274c790,چند تا کشور میشناسی با نظام پادشاهی مشروطه ؟ اطلاعی از پیشرفت انواع اداره جوامع داری اصلا ؟,0,1
fas_2c904f00bfddc214694e19cc4c934a4e,آیدا یونسی، دختر میریوسف یونسی و خواهر علی یونسی، زندانیان سیاسی محبوس در اوین، سه شنبه شانزدهم اردیبهشت در ایکس نوشت که مسئولین زندان اوین و ماموران اطلاعات پدرش را هنگام ملاقات کابینی با خشونت از برادر و مادرش جدا کرده و به بند ۷ زندان اوین منتقل کرده اند.,0,1
fas_2cb2843df6360a25d82c8b9ecd92f1ab,"مهدی یراحی بعد از انتشار ترانه ""روسریتو در بیار"" در ششم شهریور ۱۴۰۲ بازداشت و بعد از تقریبا دو ماه در اواخر مهر ماه با تودیع وثیقه پانزده میلیارد تومانی از زندان اوین آزاد شد.",0,1
fas_32a58e9a9973186fc6c6fce00ac4aebe,هرکی رو میبینم مهاجرت کرده یا بلاگر شده یا یوتیوبر یا جفتش /:,0,1
fas_33012b84f196d8168a3d592fe153f867,رفتم به بابام وکالت بدم، خانومه می‌گه این نقل و انتقال اموال رو هم شامل می‌شه‌ها. بابام می‌گه هیچی نداره نگران نباشید. :)))))))),0,1
fas_3672b98e089394e2fc75206f310e8055,گام بعدی، دسترسی به دیگر پلتفرم‌ها است که تحت عنوان «حکمرانی‌پذیر کردن» مطرح شده و چندین سال است که در قالب سند اینترنت ملی برنامه‌ریزی می‌شود. نمونه‌های این رویکرد را می‌توان در اقدامات روبیکا و تلگرام طلایی مشاهده کرد که با انتقال محتوای خاص در تلاش برای بومی‌سازی خدمات هستند. حتی با فرض […],0,1
fas_39e556bc939b0031d4565b43bf1c5850,زندان اوین: در حال حاضر نیروهای امنیتی در حال انتقال زندانیان از زندان اوین هستند. شایعات نشان از آن دارد که مقصد زندان مرکزی تهران بزرگ است اما به زندانیان هیچ اطلاعاتی درباره مقصد گفته نشده است. هر زندانی تنها اجازه دارد یک کیف کوچک همراه خود داشته باشد.,0,1
fas_4282158a6567861413413f30937f56a8,اعدام چینی چجوریه؟,0,1
fas_475a64c0ff540a4271f875c0496b28b7,عرفات جمال، نماینده کمیشنری عالی پناهندگان سازمان ملل متحد در افغانستان، از جامعه جهانی خواسته است که این کشور را فراموش نکند. او هشدار داده که ترک افغانستان می‌تواند باعث افزایش مهاجرت و بی‌ثباتی در منطقه شود.,0,1
fas_499cff60bc79c517fea325007cfbade6,چطور زنان امکان دارد حقوق زنان بستگی به سرعت وسیله نقلیه داشته باشد.,0,1
fas_534f96b3703de8ba3498808daabc1392,هرروز داره زیباتر می‌شه. امروز یک محکوم به اعدام رو در آمریکا با جوخه آتش اعدام می‌کنن. آخرین بار پونزده سال پیش این شکلی اعدام کردن. بعد میگن وا چرا نمی‌خواهید ایالت پنجاه و یک باشید. به همون دلیل که نمی‌خوام برگردم تو غار زندگی کنم.,0,1
fas_58c9e9fb5e6ab5343c0cc83526fdc3f1,ناصر محمدخانی را اعدام کنید ✊🏼,0,1
fas_5aeadff6ae88f3697bce6a5cf0fb9dae,میگم چرا اینهمه شرکت مهاجرتی برای کانادا زیاد شده! نگو قحطی اومده! وقتشه منم فکر مهاجرت باشم,0,1
fas_5c1370a2b4848fe0c452b2334ae8b43a,دادگاه يونان حكم مصادره محموله نفتى ايران را لغو كرد/رویترز,0,1
fas_5c2a2a5bfeee0e1a63e493fab1d483d6,خدا تو قرآن گفت مهاجرت کنید منتها متاسفانه تو انجیل نگفت ویزا بدبد,0,1
fas_5fa5e31570b0be90ac033c1dfb24f6d3,توضیح فلسفی دربارۀ پیوند زبان و آزادی بیان,0,1
fas_622fba9ca791c7e98191773e84ff5f55,وطن دوستی خیلی حس جالبیه! واقعا به ادم قدرت و تاب‌آوری میده. امروز یه چیزی شد، به بابام گفتم نمیدونم ایران اینو داره یا نه، یهو زد یه کانال دیگه و گفت: «میدونی فرهنگ ایرانی چه قدمتی داره و امریکا چه قدمتی؟» حرفش هیچ ربطی به حرف من نداشت، اما منو برد به عمق وطن دوستی و غمش از شرایط ایران. ریدم به ج.ا!,0,1
fas_651d7b2de684545951f8ccd9bed498f8,نه فقط نوشته بود داره تیکه میندازه ننوشته بود معنیش چیه😂 زیادم بد نیست،‌ سانسور صدا سیماییه اینا دیگه,0,1
fas_661dc3e0cd106dc6b55c2a85d0e3979a,گور بابای مهاجرت  من اشک شوق رو تو وطن خودم میخوام...,0,1
fas_696e3e8e3a9c478548978cc6d919a14e,اگر «ادب» رو اینجا در معنای «ادبیت» بگیریم، به قاعده‌ی ادب از که آموختی از بی‌ادبان، این داستان دوم از سودابه اشرفی که درباره‌ی سانسوره -و مشابه‌اش در داستان‌نویسی فارسی کم هم نیست- دقیقا بهمون نشون میده «چطور» نباید درباره‌ی سانسور ادبیات، داستان نوشت و اینکه «چرا».,0,1
fas_79861336c48d783ae78dbca46c1c06df,تازه حتی تو خواب و رویا هم ذهن یه چیزایی رو سانسور میکنه :),0,1
fas_7a72417764c61d80a06c985f59637c30,اینجا باید با سانسور حرف بزنم راحت نیستم,0,1
fas_86bc0083e0d2317c47ae6544fb43084b,میدونی بدترین حس چیه؟ اینکه همش احساس کنی کم بودی همه جوره تلاش کنی و همه چیزو فراهم کنی بازم خواسته نشی عذاب اونجاس که مرتب با خودت تکرار میکنی مگه من چی کم داشتم مشکلم چی بود؟ کجا اشتباه کردم؟,0,1
fas_883883676feabe2ce7a8546e58fc88c0,قربون دهنت.  مجاهد کورکور رو اعدام کردن، یک زن رو به خاطر قاچاق مواد مخدر اعدام کردن در حالیکه واضح بود بی‌گناه. کلا تو سال ٢٠٢۴ مثل برگ درخت آدما رو انداختن، ندیدم اینجا کسی چیزی بگه. الان یادشون افتاده ایرانی هم وجود داره.,0,1
fas_941c243373554211f99bdb9d8cf66d2b,صدور حکم اعدام برای یک دانشجو با استنادات مبهم امنیتی، در غیاب دادرسی منصفانه و تحت فشار نهادهای امنیتی، نقض آشکار حقوق بشر و اصول دادرسی عادلانه مطابق با میثاق‌های بین‌المللی حقوق مدنی و سیاسی است که ایران یکی از امضاکنندگان آن است.,0,1
fas_969486f317c765fa502bf216ac63bf22,کسی تمایل داره بازی پرسپولیس -استقلال رو دسته جمعی ببینیم؟  بازی فردا ساعت ۳ ظهر بوقت هلند هست و احتمالا آمستردام یا اوترخت جمع بشیم.,0,1
fas_a356ff1b8872078c196fa44511a675e9,۲/۲اقلیت‌های قومی در دوران قطع اینترنت به‌شدت در انزوا قرار می‌گیرند. 🔗برای دریافت آموزش کامل و اطلاعات بیشتر درباره پروتکل قطع اینترنت، به وبسایت ما مراجعه کنید:,0,1
fas_aaffe9b1e4bde7334ba95530485d1af5,حاجی افتتاحیه مسابقات همبستگی کشورهای اسلامی رو دارن سانسور می‌کنن :)),0,1
fas_ae311455dd32a2cc6d13575f795f6635,رویترز: دادگاه یونان حکم پیشین را که به آمریکا اجازه مصادره محموله نفت ایران در سواحل این کشور را می داد، لغو کرده است.,0,1
fas_af94853a4f9e6f8ae23df1cffb2ee14b,#علی_دهانی امروز در سیستان و بلوچستان اعدام شد. جرم مربوط به خیزش 1401.,0,1
fas_b66d90b4326075676dd52ee60e3e31d7,این با سلمان رشدی هیچ فرقی نداره بابد اعدام بشه,0,1
fas_babe201f21df74b308fbc9dbb35e6c15,در پی ابلاغ ممنوعیت نشر تصاویر زنده جان در ولایت فراه، فعالیت تلویزیون ملی این ولایت که تحت کنترل گروه طالبان است، متوقف و به رادیو تبدیل شده است.,0,1
fas_bbabdfb437e36a6e3ae919c117cdce9f,برای همه کتابایی که سانسور شدند و چاپ نشدن:),0,1
fas_be26661ae83ccf91044fb4e789f15b54,مهاجرت اجباری اقوام کشور از دیگر ویژگی های رژیم پهلوی بود...,0,1
fas_d08e52eb387334b101028d8f95f5fa22,این قانون رو نمیشه در نظام پادشاهی مشروطه بنویسم ؟ حتما بایستی جمهوری باشه ؟,0,1
fas_d1d6f732b3763259c3075c1a897edf67,اسم افراد رو سانسور کن لطفا,0,1
fas_d1d95ff39064476fd919e3e9821a5b36,«هر» پسر ایرانی متخصص مهاجرت اکس‌ها.,0,1
fas_d5d5da008ef1cdf527e829c1ab7e0e7a,خیلی غصه‌ داشت قصه این بچه. دانشجو که بودم تمرین تیم دانسگاه دیروقت تموم میشد. التماس حراست رو هم که میکردی نمیذاشت از در طرشت بری تو که از در آزادی بیای بیرون. حاضر بودن دانشجو بره تو کوچه‌های تاریک طرشت اون ساعت. خفت‌گیری و آزار جنسی و غیره هم بی‌اهمیت. از تک‌تکشون انتقام میگیرم یه روز.,0,1
fas_d6a81950268718f265465bcb891431df,از توییتر به اینجا مهاجرت کردم که راحت حرف بزنم و بدون سانسور. حالا اما حس می‌کنم رنج بی‌مخاطب بودن برام پررنگ‌تر از قضاوت شدنه.,0,1
fas_dcf16c86d77814e1e45dd9158f493327,انسانیت، عاملیت و استقلال فکری کی رو اصولا جدی می‌گیره؟,0,1
fas_dcf630bba2fbcdde6e2502738c488974,بعد میگن چرا برامدگی گوشو سانسور می کنن😂,0,1
fas_df758dd14bb5b7ca92982bad302eed1a,دوستم رفته ایران و هرکی بهش رسیده گفته کانادا هم که خراب شده،همه قزمیتها اونجان.شنیدم مکانیکا هم دیگه مهاجرت کردن کانادا. ایرونی چرا فکر می‌کنه کشور مهاجرپذیر به مکانیک اگر مهاجرت بده پس قزمیته؟ایرونی کلا فکر میکنه کیه؟ :) کاش ایرونی فقط بره آمریکا و لندن و مکانیکها رو بده ما، قربون یعقوب جون و شاپور,0,1
fas_e00298206c332aa3af478aa137d81729,‌نجات وطن به ما پیشه‌ورها و کاسب‌ها محول شده است؛ ولی ما برای چنین تکلیفی ساخته نشده‌ایم؛ هرگز هم داعیه‌ی قابلیتش را نداشتیم. سوءتفاهمی در میان است که نابودمان خواهد کرد.. فرانتس کافکا | بخشی از داستان| فرامرز بهزاد,0,1
fas_e58fb25b8d4d18e70cd00113f9bfdbd0,به گزارش سازمان ماده ۱۸، آقای نورد گل تپه که در اعتراض به آزار و دستگیری نوکیشان مسیحی دست به اعتصاب غذا زده بود، در روز سی و پنجم اعتصاب در حالیکه در سلول انفرادی بند ۲۰۹ اوین بوده، بی هوش شده و نقش بر زمین می شود.,0,1
fas_e8911795df91280bc4d21bb83e97e745,بخش حمل و نقل عمومی در سال‌های اخیر یکی از عوامل اصلی تورم در ایران بوده به طوری که قیمت‌ها در این بخش از سال ۱۴۰۰ شش برابر شده در حالی که تورم کل ۳.۹ برابر شده است./ با اعتصاب راننده های کامیون در یک هفته گذشته، تقریبا ورودی مواد اولیه پتروشیمی به شهرها به صفر رسیده و قیمت ها بشدت افزایشی شده,0,1
fas_edce4ea022e64c2ff1e8cde5902fb402,زندگی آن سال‌ها، با همه ترس‌ها و شگفتی‌هایش جادویی بود. بعدها شنیدم که آن خانه را دولت مصادره کرده، مهر و موم شده، و حالا به‌عنوان بنای تاریخی باید برای دیدنش بلیط بخری. اما برای من، همیشه ان خانه‌ با تمام جزئیات گوشه ذهنم زنده خواهد ماند!,0,1
fas_eecf179cf93d0ce5be6e1acaf7fca203,در حالی از دانشجو بودنم خسته شدم که دو خوان سخت و آخرش پیش رومه! و جالب اینجاست که هیچ کس هم درکم نمیکنه!,0,1
